id,label_true,label_assigned
id33333334,politics,economy
id34847143,human_interest,economy
id35222578,economy,human_interest
id36325222,politics,human_interest
id3695654,economy,politics
id37828973,economy,economy
id38173592,politics,politics
id38849595,economy,economy
id39831316,economy,human_interest
id39865428,politics,human_interest
id41360208,politics,politics
id41505933,human_interest,human_interest
id41938573,politics,politics
id42175657,politics,human_interest
id4265819,economy,economy
id4294259,economy,economy
id43117422,human_interest,politics
id43385714,human_interest,politics
id43780914,human_interest,human_interest
id44778982,politics,economy
id45935512,human_interest,economy
id45948404,politics,human_interest
id4596025,politics,politics
id4601135,economy,economy
id46648252,human_interest,human_interest
id47199318,economy,politics
id47789547,politics,politics
id47873488,human_interest,politics
id48062265,politics,human_interest
id48261043,politics,politics
id48621324,human_interest,politics
id48826513,politics,politics
id48961878,politics,economy
id49316776,economy,economy
id4934729,human_interest,human_interest
id49450442,economy,human_interest
id49929973,human_interest,politics
id49987462,human_interest,politics
id50007653,economy,economy
id50222856,economy,politics
id50331795,human_interest,economy
id50643116,politics,economy
id506635,economy,economy
id5079348,human_interest,politics
id5089501,politics,politics
id5101215,politics,economy
id51116824,human_interest,economy
id5137213,human_interest,politics
id52202594,human_interest,politics
id5232454,politics,economy
id5232756,economy,politics
id5252068,economy,economy
id5299089,economy,politics
id53050417,economy,economy
id5322523,economy,economy
id53290844,economy,politics
id539396,politics,politics
id5403152,human_interest,economy
id54033464,human_interest,politics
id54364765,politics,economy
id5454428,economy,economy
id54996145,economy,politics
id5505276,economy,economy
id55075514,economy,economy
id5522973,economy,politics
id555811,economy,economy
id5579478,politics,economy
id5612384,human_interest,politics
id5668056,politics,economy
id5680748,economy,economy
id5701533,politics,human_interest
id57275575,human_interest,economy
id5757597,human_interest,human_interest
id57708377,politics,politics
id57896465,politics,politics
id5795191,politics,politics
id58004326,politics,politics
id5811666,human_interest,politics
id581846,politics,human_interest
id5829695,economy,politics
id5864305,human_interest,politics
id58726346,politics,politics
id5936221,politics,politics
id5942078,politics,economy
id59775776,politics,politics
id5987107,politics,politics
id60032606,economy,economy
id60142386,politics,politics
id60378677,human_interest,politics
id60649055,human_interest,politics
id60662013,politics,economy
id6083127,human_interest,politics
id61222166,human_interest,politics
id6126744,politics,politics
id6130868,politics,politics
id61355305,economy,economy
id61368316,economy,politics
id6153524,economy,economy
id6171961,economy,economy
id6172424,politics,economy
id61728644,politics,politics
id6187388,politics,human_interest
id62061876,politics,economy
id62100637,human_interest,economy
id62325245,human_interest,politics
id6241152,economy,economy
id6258456,politics,economy
id62615377,politics,politics
id6402507,politics,politics
id6419374,economy,economy
id6482374,human_interest,politics
id6587369,politics,politics
id6615413,human_interest,politics
id6615906,economy,economy
id66434306,politics,politics
id6677481,economy,economy
id6706349,economy,economy
id6761209,politics,economy
id67798555,human_interest,politics
id6790956,politics,economy
id6865311,politics,politics
id6879005,human_interest,politics
id69036686,economy,politics
id69643027,politics,politics
id7027611,politics,politics
id71225244,human_interest,economy
id71626884,economy,economy
id71696573,human_interest,politics
id7202776,human_interest,politics
id72059566,human_interest,politics
id72533745,economy,economy
id72771245,politics,politics
id72776544,politics,politics
id73464006,politics,human_interest
id7366478,politics,politics
id7395132,economy,politics
id7396246,economy,economy
id7401514,politics,politics
id7403537,politics,politics
id7412857,politics,politics
id74210685,human_interest,politics
id74262995,politics,human_interest
id74667954,human_interest,human_interest
id7484592,human_interest,politics
id7500627,economy,economy
id75234705,human_interest,human_interest
id75353163,economy,economy
id75557214,politics,politics
id7638674,economy,economy
id7654839,economy,politics
id7658023,politics,politics
id76892537,economy,politics
id76931643,politics,politics
id7696096,economy,economy
id771573,politics,politics
id7734047,economy,economy
id7746264,politics,economy
id7755644,politics,politics
id7781217,economy,economy
id78220826,economy,politics
id7822887,politics,politics
id78241223,economy,economy
id7826618,economy,economy
id78300494,politics,politics
id7865131,economy,politics
id7868671,economy,economy
id7886889,economy,economy
id7892403,economy,economy
id78976995,economy,economy
id7900035,human_interest,politics
id79114443,human_interest,politics
id79159945,human_interest,human_interest
id7920035,politics,politics
id7925309,economy,economy
id79602164,politics,economy
id7969076,human_interest,politics
id79739594,human_interest,human_interest
id7984406,politics,politics
id80082506,economy,economy
id80096924,economy,economy
id8044783,economy,politics
id8048013,politics,politics
id8052338,human_interest,human_interest
id8081697,human_interest,politics
id80859506,economy,politics
id8110232,economy,economy
id8119346,human_interest,politics
id8134683,politics,politics
id8136599,economy,economy
id81464934,human_interest,politics
id8151429,human_interest,human_interest
id8157938,economy,economy
id81831056,economy,politics
id8193438,human_interest,politics
id8200619,human_interest,human_interest
id82151276,economy,economy
id82174283,economy,economy
id8222423,economy,economy
id8265052,politics,human_interest
id82811844,economy,economy
id8295268,politics,economy
id82980824,politics,politics
id83029443,human_interest,human_interest
id8320369,human_interest,politics
id8338434,politics,politics
id8367596,politics,politics
id8380213,politics,economy
id83820677,economy,economy
id8406552,economy,politics
id8435936,economy,human_interest
id8438706,economy,economy
id84495395,politics,economy
id8462349,politics,economy
id8463637,human_interest,human_interest
id8487285,economy,economy
id8494858,politics,politics
id85031426,politics,politics
id8511138,economy,economy
id8542184,human_interest,human_interest
id855362,politics,human_interest
id8554715,politics,economy
id8556445,economy,economy
id85660845,economy,economy
id8577514,human_interest,politics
id8592502,politics,politics
id86079204,economy,economy
id86113465,human_interest,politics
id86120695,politics,politics
id8612459,economy,economy
id8622672,human_interest,human_interest
id8626641,politics,politics
id8631882,economy,economy
id8648506,economy,economy
id8663485,economy,economy
id8671604,politics,politics
id86777085,politics,politics
id8693324,economy,economy
id87042505,economy,economy
id87113965,politics,politics
id8717601,politics,politics
id87200373,economy,economy
id8726865,human_interest,human_interest
id87307066,economy,economy
id87313086,economy,economy
id87324506,human_interest,politics
id87616575,politics,politics
id8775052,economy,economy
id87811464,human_interest,politics
id87909037,economy,politics
id8797431,politics,politics
id8798066,politics,economy
id8798442,economy,economy
id88077337,economy,politics
id8842312,human_interest,politics
id8870385,human_interest,politics
id8871183,politics,politics
id8874184,economy,economy
id8885265,politics,politics
id88987786,economy,economy
id89115,politics,politics
id8936447,economy,politics
id89375705,human_interest,human_interest
id89407533,politics,economy
id8948252,economy,economy
id8959257,economy,economy
id8971565,economy,economy
id89719707,economy,politics
id8975844,economy,economy
id8976838,economy,economy
id8981303,human_interest,human_interest
id8983596,economy,economy
id89847547,human_interest,politics
id8986818,economy,economy
id89899117,economy,economy
id89977396,economy,economy
id9005042,politics,politics
id9006993,economy,economy
id9015046,politics,politics
id9021469,economy,economy
id90234804,economy,economy
id90325135,economy,economy
id9038261,economy,economy
id90413386,economy,economy
id9043362,human_interest,human_interest
id90454596,economy,economy
id9050542,politics,politics
id90549815,economy,economy
id90570086,economy,economy
id9057883,politics,economy
id90590495,human_interest,human_interest
id906097,economy,economy
id9062625,politics,politics
id90633285,human_interest,politics
id90659016,politics,politics
id9066885,economy,economy
id9067244,human_interest,politics
id9067306,human_interest,human_interest
id90819454,human_interest,politics
id9087035,economy,economy
id90872425,economy,economy
id9090241,economy,economy
id9092506,economy,economy
id90927154,economy,politics
id9095167,human_interest,human_interest
id91064423,politics,human_interest
id91102064,economy,economy
id91217774,economy,economy
id9125072,economy,economy
id9134647,politics,politics
id9135885,economy,economy
id91400766,economy,economy
id9141577,economy,economy
id9143338,economy,economy
id91462314,politics,politics
id914791,human_interest,human_interest
id91501635,economy,economy
id9165247,politics,politics
id91752636,economy,economy
id91792315,politics,human_interest
id9179532,politics,politics
id91800064,economy,economy
id91853034,economy,economy
id9188798,human_interest,politics
id9193053,economy,economy
id91945475,economy,economy
id92002636,human_interest,politics
id92048013,economy,economy
id92220396,politics,politics
id92247283,human_interest,politics
id9234808,human_interest,human_interest
id92356247,economy,economy
id9237996,economy,economy
id9239815,economy,economy
id92406523,economy,economy
id92449963,economy,economy
id9246384,politics,politics
id92465127,politics,politics
id92467976,economy,economy
id925014,politics,economy
id9252703,politics,economy
id9255048,economy,economy
id9259424,human_interest,human_interest
id9260506,human_interest,politics
id9261108,economy,economy
id9261514,human_interest,human_interest
id926366,politics,politics
id9272246,economy,economy
id9273458,economy,economy
id9277807,economy,economy
id9282019,economy,economy
id9284764,politics,politics
id92950594,economy,economy
id93024975,economy,economy
id9305426,human_interest,human_interest
id93060267,politics,politics
id9310149,economy,economy
id93224293,politics,human_interest
id9328244,human_interest,human_interest
id9339688,politics,economy
id93415385,politics,politics
id93442816,human_interest,human_interest
id93462926,economy,economy
id93500346,economy,economy
id9356607,human_interest,human_interest
id9359086,politics,politics
id936019,economy,economy
id9360497,human_interest,human_interest
id93679714,economy,economy
id93681806,economy,economy
id93689287,economy,economy
id93697304,economy,economy
id93777823,human_interest,politics
id9378839,economy,economy
id9378911,human_interest,politics
id93815863,politics,politics
id9384194,economy,economy
id9385061,human_interest,human_interest
id9391422,economy,politics
id9392991,human_interest,politics
id9392995,economy,economy
id93997633,economy,economy
id9405795,human_interest,human_interest
id9408599,economy,economy
id9409555,economy,economy
id9412353,economy,economy
id941374,politics,politics
id942592,economy,economy
id94259995,economy,economy
id9428534,politics,politics
id94287694,economy,economy
id9429648,economy,economy
id9436039,economy,economy
id94394046,economy,economy
id9440117,human_interest,human_interest
id9450027,human_interest,politics
id94527304,economy,economy
id94552577,economy,economy
id9455354,economy,economy
id946301,politics,politics
id946371,politics,politics
id9465939,economy,economy
id94672793,economy,economy
id9469928,economy,economy
id94699854,economy,economy
id9470971,economy,economy
id9476732,economy,economy
id9480092,economy,economy
id94816196,human_interest,human_interest
id9482907,economy,economy
id9486389,politics,economy
id9489816,economy,human_interest
id9498265,human_interest,politics
id9500219,economy,economy
id95018816,human_interest,human_interest
id9505221,economy,economy
id9505741,economy,economy
id9508653,economy,economy
id951094,economy,economy
id9513937,politics,politics
id9516534,economy,economy
id9519736,economy,economy
id95246774,human_interest,human_interest
id95263714,economy,economy
id9528702,economy,economy
id9529848,human_interest,politics
id9530686,economy,politics
id95312876,economy,economy
id9531675,economy,economy
id9532312,politics,politics
id95343685,economy,economy
id953536,economy,economy
id9537293,human_interest,politics
id95442116,politics,politics
id95457226,economy,economy
id9546461,economy,economy
id95483476,human_interest,politics
id9550542,economy,economy
id9550987,politics,politics
id955502,economy,economy
id9557811,human_interest,economy
id9559942,human_interest,human_interest
id95609605,politics,politics
id95621955,economy,economy
id95667076,economy,economy
id9567975,economy,economy
id9568645,economy,economy
id9569946,economy,economy
id957138,politics,politics
id95716155,politics,politics
id9574762,economy,economy
id9575323,politics,politics
id9577095,economy,economy
id9580413,politics,politics
id9582637,human_interest,human_interest
id95836335,economy,economy
id95840317,economy,economy
id95895046,politics,politics
id9592271,politics,politics
id9592346,human_interest,human_interest
id959507,human_interest,economy
id9595441,human_interest,politics
id9597697,economy,economy
id95981723,economy,economy
id95985407,human_interest,human_interest
id9598739,human_interest,politics
id9600997,human_interest,human_interest
id9601896,human_interest,human_interest
id9606105,human_interest,politics
id96068144,economy,politics
id9607518,human_interest,politics
id9614866,politics,politics
id96242017,economy,economy
id9627199,economy,economy
id96306986,economy,economy
id96311486,politics,politics
id96341485,economy,economy
id9634811,human_interest,politics
id96398854,politics,politics
id9640992,economy,economy
id9644607,economy,economy
id96457446,economy,economy
id96457624,politics,politics
id9648841,economy,politics
id96500975,politics,politics
id96527314,politics,politics
id9654489,economy,economy
id96568453,human_interest,human_interest
id96570045,politics,politics
id96577424,economy,economy
id96605754,politics,politics
id96620953,human_interest,human_interest
id9662899,politics,politics
id9663213,human_interest,human_interest
id9668915,human_interest,politics
id96706045,economy,economy
id96716255,politics,politics
id9674058,politics,politics
id9678679,economy,economy
id96816474,economy,economy
id9682372,economy,economy
id968268,economy,economy
id96848977,economy,economy
id96869284,politics,politics
id9688986,politics,politics
id9690313,economy,economy
id9692536,human_interest,human_interest
id9699524,human_interest,human_interest
id9700161,politics,politics
id9701819,economy,economy
id97052425,economy,economy
id9706178,economy,economy
id9706343,politics,politics
id9707609,politics,politics
id97085834,politics,politics
id9710513,economy,economy
id971301,politics,politics
id9714768,politics,politics
id9719035,human_interest,politics
id9721923,economy,economy
id9725496,economy,economy
id9726335,politics,politics
id97273254,politics,politics
id97275937,politics,politics
id97276604,economy,economy
id9728405,economy,economy
id97302365,human_interest,economy
id97331953,economy,economy
id97338134,economy,economy
id973448,economy,economy
id97384804,economy,economy
id9738584,human_interest,politics
id97388625,politics,politics
id9739512,economy,economy
id9739623,human_interest,human_interest
id97454095,politics,politics
id97479737,economy,economy
id9748062,economy,economy
id974815,politics,politics
id9748189,human_interest,politics
id9748526,politics,politics
id97500074,politics,politics
id9750299,politics,politics
id9753434,economy,economy
id9755299,human_interest,politics
id97588396,politics,politics
id976142,economy,economy
id97630525,politics,politics
id9763323,human_interest,politics
id9768439,economy,economy
id97690725,politics,politics
id9770618,economy,economy
id9770882,politics,politics
id9771451,politics,politics
id97725403,economy,economy
id977437,economy,economy
id9775024,politics,politics
id97756916,politics,politics
id9776469,politics,politics
id977714,economy,politics
id9777605,economy,politics
id97777665,human_interest,politics
id97801113,politics,politics
id9780604,economy,economy
id9784161,politics,politics
id97854185,politics,politics
id9785705,politics,politics
id9785765,human_interest,human_interest
id9785781,human_interest,human_interest
id97864956,human_interest,politics
id9786769,economy,economy
id9788407,economy,economy
id9789032,politics,politics
id9792795,politics,politics
id97929037,human_interest,politics
id9793211,politics,politics
id9793484,politics,politics
id9794601,human_interest,politics
id9794643,economy,economy
id9795451,politics,politics
id97973186,human_interest,human_interest
id9799028,economy,economy
id97994643,politics,politics
id9800861,human_interest,human_interest
id9801695,politics,politics
id98020524,human_interest,human_interest
id98040617,politics,politics
id9804895,politics,politics
id9806707,human_interest,politics
id98072916,human_interest,politics
id98080015,economy,economy
id98094386,politics,politics
id98095196,politics,politics
id9809802,politics,politics
id98110414,human_interest,human_interest
id981138,politics,politics
id98118466,economy,economy
id98128545,politics,politics
id98133403,economy,economy
id9813601,politics,politics
id98144823,politics,politics
id9815011,economy,politics
id98172826,human_interest,politics
id98174953,politics,politics
id98180836,human_interest,human_interest
id98191327,politics,politics
id9822432,politics,politics
id9823073,politics,politics
id9825095,politics,politics
id98260146,economy,economy
id9827822,human_interest,economy
id98283595,politics,politics
id98285186,economy,economy
id982942,economy,politics
id982947,politics,politics
id98298484,politics,politics
id98307735,politics,politics
id983092,human_interest,politics
id98328775,economy,economy
id98328835,human_interest,human_interest
id9833192,politics,politics
id9834796,human_interest,politics
id98348063,human_interest,politics
id98356104,economy,economy
id9836143,politics,politics
id98384815,economy,economy
id983949,human_interest,human_interest
id9840056,economy,economy
id9840098,economy,economy
id9840274,economy,economy
id98407435,economy,economy
id9840746,economy,human_interest
id9844765,human_interest,politics
id9846725,economy,economy
id984786,economy,economy
id98485583,economy,economy
id9848786,politics,politics
id9849938,economy,economy
id9850631,economy,economy
id9852657,politics,politics
id98531425,human_interest,politics
id98534226,human_interest,human_interest
id98535883,economy,economy
id9853677,politics,politics
id98539495,politics,politics
id9854174,human_interest,politics
id98544425,human_interest,politics
id9857205,human_interest,human_interest
id9857761,human_interest,politics
id985788,economy,politics
id9860152,politics,politics
id9861794,human_interest,human_interest
id9861888,economy,politics
id9861946,politics,politics
id9864022,economy,economy
id9864559,human_interest,politics
id9864732,politics,politics
id9865297,human_interest,human_interest
id98653686,human_interest,human_interest
id9866058,economy,economy
id9866909,politics,politics
id98669446,human_interest,politics
id9866982,economy,economy
id9867029,economy,economy
id9867208,economy,economy
id9868189,human_interest,politics
id98682296,politics,politics
id9868326,human_interest,human_interest
id9868368,politics,politics
id98686,economy,economy
id986989,economy,economy
id98710036,politics,politics
id98713094,economy,economy
id98713547,human_interest,human_interest
id9873374,human_interest,human_interest
id9874248,politics,politics
id9874473,politics,politics
id9874572,human_interest,politics
id9874587,human_interest,human_interest
id98752683,human_interest,politics
id98770034,human_interest,human_interest
id9877033,economy,economy
id9877687,human_interest,human_interest
id98781186,politics,politics
id9879209,human_interest,human_interest
id98799884,human_interest,human_interest
id98802316,human_interest,human_interest
id9880657,economy,economy
id98817563,economy,economy
id9882009,human_interest,human_interest
id9883406,politics,politics
id9884498,economy,economy
id9884643,politics,politics
id9884753,human_interest,politics
id9884934,human_interest,human_interest
id9884978,human_interest,human_interest
id98854685,politics,politics
id9885796,politics,politics
id98861396,politics,politics
id9886283,economy,economy
id988663,economy,economy
id9886801,economy,economy
id9886933,human_interest,human_interest
id98872966,politics,politics
id9888182,economy,economy
id98881894,human_interest,politics
id98887897,human_interest,politics
id98889333,human_interest,human_interest
id9889159,human_interest,human_interest
id9889408,human_interest,politics
id98900783,politics,politics
id9892051,human_interest,politics
id9892364,economy,economy
id9892489,politics,politics
id98925155,politics,politics
id98933864,politics,politics
id98935217,human_interest,human_interest
id9893741,economy,economy
id9893958,politics,politics
id9894035,human_interest,human_interest
id9894338,politics,politics
id9894812,economy,economy
id98948306,economy,economy
id98952204,human_interest,human_interest
id9895571,politics,politics
id9895734,human_interest,politics
id9895746,human_interest,politics
id98957705,human_interest,politics
id9896505,human_interest,human_interest
id9897831,human_interest,politics
id98978406,politics,politics
id98980063,human_interest,human_interest
id98994887,politics,politics
id9899581,human_interest,politics
id9899927,human_interest,politics
id99007076,human_interest,politics
id99007076,human_interest,human_interest
id9900742,human_interest,human_interest
id99008197,economy,economy
id9901584,politics,politics
id9902159,economy,economy
id9902519,human_interest,human_interest
id99032366,human_interest,politics
id9903349,politics,politics
id9903616,politics,politics
id9903771,politics,politics
id9904248,politics,politics
id99050856,human_interest,human_interest
id9905442,economy,economy
id9905579,politics,politics
id9906441,human_interest,human_interest
id9906803,politics,politics
id99071,economy,economy
id990739,economy,economy
id9907969,human_interest,human_interest
id9908048,economy,economy
id9908155,politics,politics
id9908313,politics,politics
id99091196,economy,economy
id99096596,politics,politics
id9909937,politics,politics
id9910617,human_interest,human_interest
id9910981,economy,economy
id99111825,politics,politics
id9911293,politics,politics
id99118596,economy,economy
id99120414,economy,economy
id9912675,politics,politics
id9912872,politics,politics
id9913344,politics,politics
id99136084,human_interest,politics
id9914158,economy,economy
id9915085,human_interest,human_interest
id9915549,politics,politics
id9916339,human_interest,human_interest
id99168664,politics,human_interest
id99170554,politics,politics
id9917064,politics,politics
id9917645,human_interest,human_interest
id9917908,politics,politics
id99183875,politics,politics
id99184144,politics,politics
id99191135,human_interest,human_interest
id99193925,human_interest,human_interest
id991943,human_interest,human_interest
id9919493,human_interest,human_interest
id99195075,human_interest,human_interest
id99195075,human_interest,human_interest
id99195147,human_interest,politics
id99198544,human_interest,human_interest
id9920141,human_interest,human_interest
id9920224,politics,politics
id99206275,economy,economy
id9920666,human_interest,human_interest
id99207497,human_interest,politics
id99214524,economy,economy
id9921739,politics,politics
id99218094,economy,economy
id9922131,human_interest,human_interest
id9922208,human_interest,human_interest
id99222225,human_interest,human_interest
id9922593,human_interest,politics
id9924436,human_interest,human_interest
id9924873,politics,politics
id99249226,human_interest,human_interest
id9925505,human_interest,human_interest
id9925575,politics,politics
id99255824,economy,economy
id9925991,human_interest,politics
id9925996,politics,politics
id99262494,human_interest,human_interest
id9926299,human_interest,human_interest
id9926433,human_interest,human_interest
id9926537,human_interest,human_interest
id9926926,human_interest,human_interest
id99273163,human_interest,human_interest
id99281526,human_interest,human_interest
id9928342,human_interest,human_interest
id99294865,human_interest,human_interest
id9929711,politics,politics
id99298805,human_interest,human_interest
id9930148,politics,politics
id99301904,human_interest,human_interest
id99304235,human_interest,politics
id99304706,politics,politics
id9931874,politics,politics
id99320483,human_interest,human_interest
id99320906,human_interest,human_interest
id99324244,human_interest,human_interest
id9932667,human_interest,human_interest
id9933135,human_interest,politics
id9933335,human_interest,politics
id99334127,human_interest,politics
id99343324,human_interest,politics
id993435,human_interest,politics
id9934587,human_interest,human_interest
id9935095,human_interest,human_interest
id9935375,human_interest,politics
id9935742,human_interest,human_interest
id99362516,human_interest,human_interest
id99363494,human_interest,human_interest
id99368036,human_interest,human_interest
id9937338,human_interest,human_interest
id993747,politics,politics
id99376327,human_interest,politics
id99380684,human_interest,human_interest
id9938127,human_interest,human_interest
id99382,human_interest,human_interest
id9938314,human_interest,human_interest
id9938344,human_interest,politics
id99386,human_interest,human_interest
id9938619,human_interest,human_interest
id9938747,human_interest,human_interest
id99391997,politics,politics
id9939535,economy,economy
id99398696,human_interest,human_interest
id99399924,human_interest,human_interest
id9940154,human_interest,human_interest
id994023,human_interest,human_interest
id99404705,human_interest,human_interest
id9941024,human_interest,human_interest
id99412656,politics,politics
id99413186,human_interest,human_interest
id9941328,human_interest,politics
id9941689,human_interest,human_interest
id99416935,human_interest,human_interest
id99420667,human_interest,politics
id9942245,human_interest,politics
id9942834,human_interest,human_interest
id9942842,politics,politics
id9943098,human_interest,human_interest
id9943268,human_interest,human_interest
id9943362,human_interest,politics
id99436593,human_interest,human_interest
id99439394,politics,politics
id994456,economy,economy
id99448687,human_interest,human_interest
id99458945,human_interest,human_interest
id9945949,human_interest,human_interest
id9946461,human_interest,human_interest
id9946557,human_interest,human_interest
id99470747,human_interest,politics
id9947102,human_interest,politics
id9947166,human_interest,human_interest
id9947265,human_interest,human_interest
id9947472,human_interest,politics
id9947572,human_interest,human_interest
id9948008,human_interest,human_interest
id9948579,human_interest,human_interest
id99487597,human_interest,human_interest
id9948769,economy,economy
id9948906,politics,politics
id99492776,human_interest,politics
id99493533,human_interest,human_interest
id9949674,human_interest,human_interest
id99497944,human_interest,politics
id9949915,economy,economy
id994994,politics,politics
id99501747,human_interest,human_interest
id99504423,politics,politics
id9950576,human_interest,politics
id9951251,human_interest,human_interest
id99515116,human_interest,politics
id99515885,economy,economy
id9951774,politics,politics
id99525356,human_interest,human_interest
id99526227,human_interest,human_interest
id9953003,human_interest,human_interest
id99530786,human_interest,human_interest
id9953556,human_interest,politics
id9953577,human_interest,human_interest
id9953863,human_interest,politics
id9954413,human_interest,politics
id9954727,human_interest,human_interest
id9955675,human_interest,human_interest
id9956344,human_interest,politics
id99563533,economy,economy
id9956469,human_interest,human_interest
id9956578,human_interest,human_interest
id99566936,human_interest,politics
id9956774,human_interest,politics
id9956779,human_interest,human_interest
id99572045,human_interest,politics
id99573034,human_interest,human_interest
id9957337,human_interest,human_interest
id99573416,human_interest,human_interest
id9957653,human_interest,politics
id99578565,human_interest,politics
id9957911,human_interest,human_interest
id99580413,human_interest,human_interest
id99580765,human_interest,human_interest
id99581736,human_interest,human_interest
id9958259,human_interest,human_interest
id9958359,human_interest,human_interest
id9958824,human_interest,politics
id9958937,human_interest,human_interest
id9958942,human_interest,human_interest
id99591595,human_interest,human_interest
id9959266,human_interest,human_interest
id9959706,human_interest,politics
id9960063,human_interest,politics
id996012,human_interest,human_interest
id9960557,human_interest,human_interest
id9960574,human_interest,human_interest
id99607855,human_interest,human_interest
id9961442,human_interest,human_interest
id9961475,human_interest,politics
id9961915,human_interest,human_interest
id99620277,human_interest,human_interest
id9962149,human_interest,human_interest
id99626344,human_interest,human_interest
id99631554,human_interest,politics
id9963167,human_interest,politics
id99634486,human_interest,human_interest
id99634725,human_interest,human_interest
id99640405,human_interest,human_interest
id99640805,human_interest,human_interest
id9964175,human_interest,politics
id9964635,human_interest,human_interest
id99652123,human_interest,politics
id9965653,human_interest,human_interest
id9965771,human_interest,human_interest
id99665666,human_interest,human_interest
id9967986,human_interest,human_interest
id99685776,human_interest,human_interest
id99692106,human_interest,human_interest
id9969291,human_interest,human_interest
id9969708,human_interest,human_interest
id9970101,human_interest,human_interest
id99704236,human_interest,politics
id9970516,human_interest,human_interest
id9971083,human_interest,human_interest
id9971547,human_interest,human_interest
id9971934,human_interest,politics
id9972168,human_interest,human_interest
id9973098,human_interest,politics
id9973394,human_interest,human_interest
id99736625,human_interest,human_interest
id99750334,human_interest,human_interest
id9976775,human_interest,human_interest
id99772805,human_interest,human_interest
id99774724,human_interest,human_interest
id9977781,human_interest,human_interest
